Source,SourceRow,TaxonId,Name,Reference,MatchType,ReferenceRow,TaxonId,Name,EditDistance
issue-16-src,1,gn_2,Struthio camelus,issue-16-trg,Exact,1,2,Struthio camelus,0
issue-16-src,2,gn_3,Struthio camelus camelus,issue-16-trg,Exact,2,3,Struthio camelus camelus,0
issue-16-src,3,gn_4,Struthio camelus syriacus,issue-16-trg,Exact,3,4,Struthio camelus syriacus,0
issue-16-src,4,gn_5,Struthio camelus massaicus,issue-16-trg,Exact,4,5,Struthio camelus massaicus,0
issue-16-src,5,gn_6,Struthio camelus australis,issue-16-trg,Exact,5,6,Struthio camelus australis,0
issue-16-src,6,gn_7,Struthio molybdophanes,issue-16-trg,Exact,6,7,Struthio molybdophanes,0
issue-16-src,7,gn_8,Rhea americana,issue-16-trg,Exact,7,8,Rhea americana,0
issue-16-src,8,gn_9,Rhea americana araneipes,issue-16-trg,Exact,8,9,Rhea americana araneipes,0
issue-16-src,9,gn_10,Rhea americana americana,issue-16-trg,Exact,9,10,Rhea americana americana,0
issue-16-src,10,gn_11,Rhea americana nobilis,issue-16-trg,Exact,10,11,Rhea americana nobilis,0
issue-16-src,11,gn_12,Rhea americana albescens,issue-16-trg,Exact,11,12,Rhea americana albescens,0
issue-16-src,12,gn_13,Rhea americana intermedia,issue-16-trg,Exact,12,13,Rhea americana intermedia,0